GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-netconf-provider-device,org.onosproject.provider.netconf.device.impl,NetconfDeviceProvider,90,390,15,23,12,84,21,15,10,7
onos-netconf-provider-device,org.onosproject.provider.netconf.device.impl,NetconfDevice,363,90,28,2,85,25,23,10,9,9
onos-netconf-provider-device,org.onosproject.provider.netconf.device.impl,NetconfDeviceProvider.DeviceCreator,276,15,9,1,55,5,8,2,3,2
onos-netconf-provider-device,org.onosproject.provider.netconf.device.impl,NetconfDevice.DeviceState,9,39,0,0,0,4,2,2,2,2
