GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-of-provider-group,org.onosproject.provider.of.group.impl,GroupBucketEntryBuilder,424,0,46,0,127,0,40,0,4,0
onos-of-provider-group,org.onosproject.provider.of.group.impl,OpenFlowGroupProvider.new Object() {...},9,67,0,0,0,3,0,1,0,1
onos-of-provider-group,org.onosproject.provider.of.group.impl,GroupBucketEntryBuilder.new Object() {...},671,0,0,0,3,0,1,0,1,0
onos-of-provider-group,org.onosproject.provider.of.group.impl,GroupStatsCollector,105,36,6,0,28,10,6,2,3,2
onos-of-provider-group,org.onosproject.provider.of.group.impl,OpenFlowGroupProvider,226,319,28,21,51,76,28,13,5,9
onos-of-provider-group,org.onosproject.provider.of.group.impl,GroupModBuilder,479,170,46,9,120,42,43,7,5,5
onos-of-provider-group,org.onosproject.provider.of.group.impl,OpenFlowGroupProvider.InternalGroupProvider,74,96,14,7,22,22,15,3,5,2
onos-of-provider-group,org.onosproject.provider.of.group.impl,GroupModBuilder.new Object() {...},30,201,0,0,0,5,0,1,0,1
