GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jdvue,org.onlab.jdvue,JavaSource,36,42,6,2,7,14,6,6,2,6
jdvue,org.onlab.jdvue,Dependency,0,65,1,5,0,14,1,8,0,6
jdvue,org.onlab.jdvue,DependencyViewer,12,374,1,17,2,77,1,18,0,10
jdvue,org.onlab.jdvue,JavaPackage,0,61,2,4,0,16,2,7,0,6
jdvue,org.onlab.jdvue,DependencyCycle,2,186,2,12,1,34,2,14,0,9
jdvue,org.onlab.jdvue,Catalog,19,565,6,44,1,126,6,44,0,25
jdvue,org.onlab.jdvue,JavaEntity,2,40,2,4,1,9,2,5,0,4
