GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-of-provider-meter,org.onosproject.provider.of.meter.impl,MeterModBuilder.new Object() {...},37,0,0,0,2,0,1,0,1,0
onos-of-provider-meter,org.onosproject.provider.of.meter.impl,MeterModBuilder,248,0,16,0,65,0,23,0,14,0
onos-of-provider-meter,org.onosproject.provider.of.meter.impl,MeterStatsCollector,119,0,6,0,30,0,8,0,5,0
onos-of-provider-meter,org.onosproject.provider.of.meter.impl,OpenFlowMeterProvider,515,0,43,0,126,0,54,0,26,0
onos-of-provider-meter,org.onosproject.provider.of.meter.impl,OpenFlowMeterProvider.new Object() {...},132,0,0,0,3,0,1,0,1,0
onos-of-provider-meter,org.onosproject.provider.of.meter.impl,OpenFlowMeterProvider.InternalMeterListener,85,0,9,0,24,0,12,0,7,0
