GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onlab-osgi,org.onlab.osgi,ServiceNotFoundException,12,0,0,0,6,0,3,0,3,0
onlab-osgi,org.onlab.osgi,DefaultServiceDirectory,41,0,6,0,10,0,6,0,3,0
