GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-of-provider-packet,org.onosproject.provider.of.packet.impl,OpenFlowCorePacketContext,83,14,10,0,24,4,8,2,3,2
onos-of-provider-packet,org.onosproject.provider.of.packet.impl,OpenFlowPacketProvider,24,176,5,7,0,44,7,9,4,6
onos-of-provider-packet,org.onosproject.provider.of.packet.impl,OpenFlowPacketProvider.InternalPacketProvider,0,60,1,1,0,14,1,2,0,2
